Num_Restaurants,TotTimeElapsed_sec,ScrapeTime_sec
794,2597.58,3.24
795,2600.62,3.04
796,2603.66,3.04
797,2606.81,3.15
798,2609.12,2.31
799,2612.58,3.46
800,2614.83,2.25
801,2624.2,9.37
802,2627.67,3.47
803,2630.66,2.99
804,2633.41,2.75
805,2636.2,2.79
806,2639.23,3.03
807,2641.78,2.55
808,2644.39,2.61
809,2647.3,2.91
810,2650.33,3.03
811,2653.87,3.54
812,2656.66,2.79
813,2659.66,3
814,2663,3.34
815,2666.53,3.53
816,2669.78,3.25
817,2672.73,2.95
818,2676.52,3.79
819,2679.16,2.64
820,2681.7,2.54
821,2684.08,2.38
822,2688.95,4.87
823,2691.95,3
824,2694.62,2.67
825,2699.53,4.91
826,2702.33,2.8
827,2705.31,2.98
828,2707.94,2.63
829,2711.59,3.65
830,2714.37,2.78
831,2717.22,2.85
832,2719.44,2.22
833,2721.91,2.47
834,2725.19,3.28
835,2727.78,2.59
836,2730.34,2.56
837,2732.95,2.61
838,2736.17,3.22
839,2738.73,2.56
840,2741.5,2.77
841,2750.45,8.95
842,2753.41,2.96
843,2756.2,2.79
844,2759.11,2.91
845,2763.02,3.91
846,2765.7,2.68
847,2768.84,3.14
848,2772.8,3.96
849,2775.03,2.23
850,2777.59,2.56
851,2780.48,2.89
852,2783.19,2.71
853,2787.03,3.84
854,2789.86,2.83
855,2792.52,2.66
856,2794.83,2.31
857,2797.67,2.84
858,2801.17,3.5
859,2804.08,2.91
860,2806.92,2.84
861,2809.56,2.64
862,2812.44,2.88
863,2815.33,2.89
864,2818.45,3.12
865,2820.75,2.3
866,2823.75,3
867,2826.58,2.83
868,2829.48,2.9
869,2831.97,2.49
870,2835,3.03
871,2838.14,3.14
872,2841.83,3.69
873,2845.09,3.26
874,2847.8,2.71
875,2850.66,2.86
876,2853.56,2.9
877,2856.84,3.28
878,2859.72,2.88
879,2862.64,2.92
880,2865.66,3.02
881,2876.02,10.36
882,2879.41,3.39
883,2883.77,4.36
884,2886.81,3.04
885,2891.78,4.97
886,2895.92,4.14
887,2899.31,3.39
888,2902.27,2.96
889,2905.45,3.18
890,2909.83,4.38
891,2913.28,3.45
892,2916.27,2.99
893,2919.56,3.29
894,2923.27,3.71
895,2926.8,3.53
896,2930.58,3.78
897,2934.23,3.65
898,2937.06,2.83
899,2940.09,3.03
900,2943.47,3.38
901,2945.94,2.47
902,2949.17,3.23
903,2952.22,3.05
904,2954.95,2.73
905,2957.97,3.02
906,2961.39,3.42
907,2965.09,3.7
908,2967.84,2.75
909,2971.7,3.86
910,2975.2,3.5
911,2979.19,3.99
912,2981.91,2.72
913,2984.28,2.37
914,2987.78,3.5
915,2990.55,2.77
916,2995.53,4.98
917,2998.64,3.11
918,3002.87,4.23
919,3006.83,3.96
920,3009.53,2.7
921,3023.53,14
922,3027.02,3.49
923,3030.03,3.01
924,3033.5,3.47
925,3036.73,3.23
926,3039.61,2.88
927,3042.33,2.72
928,3044.84,2.51
929,3047.77,2.93
930,3050.91,3.14
931,3053.56,2.65
932,3056.33,2.77
933,3059.7,3.37
934,3062.8,3.1
935,3065.5,2.7
936,3067.97,2.47
937,3071.89,3.92
938,3075.14,3.25
939,3077.75,2.61
940,3080.81,3.06
941,3083.3,2.49
942,3086.62,3.32
943,3089.44,2.82
944,3092.25,2.81
945,3094.42,2.17
946,3098,3.58
947,3100.7,2.7
948,3103.27,2.57
949,3106.72,3.45
950,3109.55,2.83
951,3112.22,2.67
952,3115.06,2.84
953,3118.14,3.08
954,3120.95,2.81
955,3123.23,2.28
